Date,Open,High,Low,Close,Adj Close,Volume
22/10/2018,69.410004,69.650002,68.269997,69.169998,69.169998,513770
23/10/2018,69.550003,69.660004,65.739998,66.43,66.43,853265
24/10/2018,66.169998,67.720001,66.050003,66.82,66.82,775963
25/10/2018,66.360001,67.650002,65.989998,67.330002,67.330002,573096
26/10/2018,66.949997,67.879997,66.199997,67.589996,67.589996,595211
29/10/2018,67.550003,67.949997,66.290001,67.040001,67.040001,477487
30/10/2018,66.68,67.260002,65.330002,66.18,66.18,680441
31/10/2018,66.32,67,64.809998,65.309998,65.309998,666487
01/11/2018,64.879997,65.389999,63.110001,63.689999,63.689999,790286
02/11/2018,63.5,63.950001,62.630001,63.139999,63.139999,708906
05/11/2018,62.990002,64.139999,62.52,63.099998,63.099998,609129
06/11/2018,62.700001,63.32,61.310001,62.209999,62.209999,761240
07/11/2018,61.740002,63.18,61.200001,61.669998,61.669998,866628
08/11/2018,61.639999,62.419998,60.400002,60.669998,60.669998,764546
09/11/2018,60.75,60.790001,59.259998,60.189999,60.189999,821729
12/11/2018,60.700001,61.279999,58.68,59.93,59.93,806219
13/11/2018,58.880001,59.349998,54.75,55.689999,55.689999,1095643
14/11/2018,55.27,57.369999,55.130001,56.25,56.25,844696
15/11/2018,56.02,57.259998,55.59,56.459999,56.459999,256499
16/11/2018,56.580002,57.959999,55.889999,56.459999,56.459999,159001
19/11/2018,56.720001,57.330002,55.080002,56.759998,56.759998,699684
20/11/2018,57.389999,57.439999,52.77,53.43,53.43,983120
21/11/2018,53.389999,55.860001,53.389999,54.630001,54.630001,734277
23/11/2018,53.869999,54.119999,50.150002,50.419998,50.419998,1014667
26/11/2018,50.619999,52.25,50.099998,51.630001,51.630001,663108
27/11/2018,51.540001,52.380001,50.299999,51.560001,51.560001,764010
28/11/2018,52.09,52.560001,50.060001,50.290001,50.290001,831688
29/11/2018,50.310001,52.200001,49.41,51.450001,51.450001,812721
30/11/2018,51.27,51.790001,49.650002,50.93,50.93,796714
03/12/2018,52.450001,53.849998,52.029999,52.950001,52.950001,758010
04/12/2018,53.130001,54.549999,52.43,53.25,53.25,738130
06/12/2018,52.93,53.299999,50.080002,51.490002,51.490002,987266
07/12/2018,51.759998,54.220001,50.599998,52.610001,52.610001,987717
10/12/2018,52.029999,52.810001,50.529999,51,51,733225
11/12/2018,50.889999,52.43,50.700001,51.650002,51.650002,665262
12/12/2018,51.950001,52.880001,50.939999,51.150002,51.150002,730810
13/12/2018,51.200001,53.27,50.349998,52.580002,52.580002,733627
14/12/2018,52.830002,52.950001,50.84,51.200001,51.200001,526839
17/12/2018,51.25,51.869999,49.009998,49.880001,49.880001,211257
18/12/2018,49.16,49.59,45.790001,46.240002,46.240002,120101
19/12/2018,45.93,48,45.93,47.200001,47.200001,817721
20/12/2018,47.389999,47.509998,45.669998,45.880001,45.880001,794130
21/12/2018,46.25,46.77,45.130001,45.59,45.59,694003
24/12/2018,45.450001,46.240002,42.360001,42.529999,42.529999,415859
26/12/2018,42.849998,47,42.52,46.220001,46.220001,698408
27/12/2018,46.580002,46.700001,44.369999,44.610001,44.610001,665590
28/12/2018,45.439999,46.220001,44.419998,45.330002,45.330002,564385
31/12/2018,45.220001,46.529999,44.73,45.41,45.41,476970
02/01/2019,45.799999,47.779999,44.349998,46.540001,46.540001,850480
03/01/2019,46.259998,47.490002,45.349998,47.09,47.09,788718
04/01/2019,46.900002,49.220001,46.650002,47.959999,47.959999,817277
07/01/2019,48.299999,49.790001,48.110001,48.52,48.52,819939
08/01/2019,48.73,49.950001,48.310001,49.779999,49.779999,765981
09/01/2019,49.799999,52.580002,49.709999,52.360001,52.360001,891922
10/01/2019,52.18,52.779999,51.369999,52.59,52.59,821782
11/01/2019,52.279999,53.310001,51.18,51.59,51.59,812339
14/01/2019,51.73,52.110001,50.380001,50.509998,50.509998,791527
15/01/2019,50.779999,52.299999,50.639999,52.110001,52.110001,664183
16/01/2019,52,52.52,51.259998,52.310001,52.310001,694182
17/01/2019,52.299999,52.580002,50.98,52.07,52.07,288560
18/01/2019,52.23,53.919998,52.09,53.799999,53.799999,193099
